pedido_id,fecha_pedido,mes_num,dia_semana_num,hora_decimal,es_fin_semana,tipo_pedido,cantidad_items,zona_entrega,carga_trabajo,tiempo_prometido_min,tiempo_total_min,entrega_tarde,dia_semana,mes,hora_pedido
929d4977-d667-4aef-bc32-bdb2af182d0d,2023-10-27,10,5,2.37,0,Domicilio,10,LA LOMITA,0,50,70.00,1,Friday,October,02:22
af65d6c9-9110-410e-9cbf-cfcdac296869,2023-10-28,10,6,2.48,1,Recoger,10,LOCAL,0,30,22.00,0,Saturday,October,02:29
a73bb4a7-591f-45b2-81b9-39dce7478883,2023-10-29,10,7,2.15,1,Domicilio,19,LA LOMITA,0,50,67.00,1,Sunday,October,02:09
c5a790c3-343e-4233-b989-244cb1aa34b2,2023-10-29,10,7,19.17,1,Recoger en tienda,14,LOCAL,0,30,20.00,0,Sunday,October,19:10
667ee517-708c-4d8a-9a6d-d71b2431afc1,2023-10-30,10,1,20.95,0,Recoger en tienda,9,LOCAL,0,30,38.00,1,Monday,October,20:57
d010bfc2-8f9e-4f90-b79e-503a01f59f65,2023-10-31,10,2,21.45,0,Mostrador,8,LOCAL,0,30,46.00,1,Tuesday,October,21:27
327ae17c-0c08-4a06-ab92-036beff6da34,2023-11-02,11,4,1.05,0,Domicilio,8,COLALAMBRE,0,50,36.00,0,Thursday,November,01:03
6cab667a-633b-427a-96d6-b6bb31db31d1,2023-11-02,11,4,18.72,0,Domicilio,9,CHACATITLA,0,50,41.00,0,Thursday,November,18:43
5ad142dd-6b44-40ef-81ca-0dccb92643a2,2023-11-04,11,6,0.13,1,Domicilio,17,TRES CRUCES,0,50,38.00,0,Saturday,November,00:08
c63c5e23-c1d4-4574-a819-8c97b84d8cb5,2023-11-05,11,7,1.65,1,Mostrador,20,LOCAL,0,30,20.00,0,Sunday,November,01:39
bfb887a4-28c1-419b-9c32-9cb7f10a7d0c,2023-11-06,11,1,3.48,0,Recoger en tienda,14,LOCAL,0,30,20.00,0,Monday,November,03:29
ac99b44c-1dff-4cee-b2be-c3afc1d657fe,2023-11-07,11,2,1.25,0,Domicilio,8,PARQUE DE POBLAMIENTO,0,50,35.00,0,Tuesday,November,01:15
